locationuid,locationtype,parentlocationuid,community_name,tract_geoid,roadsegid,speed,oneway,abloaddr,abhiaddr,rd30full,geometry
004361eb,WALKWAY,004361eb,Downtown,14000US00000006974,40052,35,T,2100,2199,KETTNER BLVD,"LINESTRING (-117.1706148251287 32.72654890568484, -117.1705438371338 32.72656529512148)"
00456472,TRAFFIC_LANE,00456472,Downtown,14000US00000006974,40052,35,T,2100,2199,KETTNER BLVD,"LINESTRING (-117.1705245131968 32.72655851720778, -117.1704538241028 32.72658290323705)"
0051796c,WALKWAY,0051796c,Downtown,14000US00000006974,54946,20,F,1600,1699,STATE ST,"LINESTRING (-117.1666581391174 32.72221466186244, -117.1665764463296 32.7222103822281)"
00537bf3,TRAFFIC_LANE,00537bf3,Downtown,14000US00000007137,54946,20,F,1600,1699,STATE ST,"LINESTRING (-117.166581746989 32.72221788556654, -117.1664374886782 32.72221962180797)"
005f90ed,WALKWAY,005f90ed,Downtown,14000US00000006974,54945,20,F,1700,1799,STATE ST,"LINESTRING (-117.1665182431566 32.72381088990277, -117.1665776145208 32.7238009339824)"
00619374,TRAFFIC_LANE,00619374,Downtown,14000US00000006974,54945,20,F,1700,1799,STATE ST,"LINESTRING (-117.1666004261231 32.72376168039614, -117.1667628034928 32.72373734414144)"
006bbb6e,WALKWAY,006bbb6e,Downtown,14000US00000006937,2809,20,B,400,499,13TH ST,"LINESTRING (-117.1529442467722 32.71047605578817, -117.1530044441433 32.71047647101815)"
006da86e,WALKWAY,006da86e,Downtown,14000US00000006940,40049,20,T,1300,1399,KETTNER BLVD,"LINESTRING (-117.1691082585662 32.71939349562473, -117.1690532151958 32.7193936630952)"
006dbdf5,TRAFFIC_LANE,006dbdf5,Downtown,14000US00000006937,2809,20,B,400,499,13TH ST,"LINESTRING (-117.1530642243082 32.71048655897566, -117.1530816953905 32.71042947925383)"
0079d2ef,WALKWAY,0079d2ef,Carmel Mountain Ranch,14000US00000002768,15990,35,B,11800,11999,CARMEL MOUNTAIN RD,"LINESTRING (-117.0760328030066 32.98316287631791, -117.0760019068547 32.9832181388355)"
007bbfef,WALKWAY,007bbfef,Downtown,14000US00000006974,37315,20,F,1500,1599,INDIA ST,"LINESTRING (-117.1682212859689 32.72128327117085, -117.1681812047091 32.72127123267187)"
007dc276,TRAFFIC_LANE,007dc276,Downtown,14000US00000006974,37315,20,F,1500,1599,INDIA ST,"LINESTRING (-117.168317006654 32.72126333086271, -117.1683542236986 32.72125903796971)"
0087ea70,WALKWAY,0087ea70,Sabre Springs,14000US00000002192,178737,35,B,13500,13539,SABRE SPRINGS PKY,"LINESTRING (-117.0913748403527 32.96287132850259, -117.0914246466895 32.96281338081616)"
0089d770,WALKWAY,0089d770,Downtown,14000US00000006939,30632,20,T,300,399,W G ST,"LINESTRING (-117.166009787832 32.71245337416048, -117.1661015507594 32.71240894424336)"
0089ecf7,TRAFFIC_LANE,0089ecf7,Sabre Springs,14000US00000002192,178737,35,B,13500,13539,SABRE SPRINGS PKY,"LINESTRING (-117.0915786284282 32.96279783244862, -117.0914732964169 32.96269939409999)"
00a41972,WALKWAY,00a41972,Pacific Beach,14000US00000007204,37437,35,B,4326,4399,INGRAHAM ST,"LINESTRING (-117.2402887786941 32.79800248049686, -117.2402988935268 32.79803985786142)"
00a60672,WALKWAY,00a60672,Downtown,14000US00000006940,205236,20,B,1000,1199,KETTNER BLVD,"LINESTRING (-117.1690887286266 32.71755249388995, -117.1690528284586 32.71755703659837)"
00a61bf9,TRAFFIC_LANE,00a61bf9,Pacific Beach,14000US00000007204,37440,35,B,4400,4425,INGRAHAM ST,"LINESTRING (-117.2402638638485 32.79813508503536, -117.2403363649641 32.79812124044375)"
00b230f3,WALKWAY,00b230f3,Midway-Pacific Highway,14000US00000007004,103354,15,B,0,0,HENDERSON AVE,"LINESTRING (-117.2032419915411 32.74406579762881, -117.2032689458478 32.74414172972983)"
00b4337a,TRAFFIC_LANE,00b4337a,Midway-Pacific Highway,14000US00000007004,62157,20,B,2600,2669,TUSCALOOSA ST,"LINESTRING (-117.2032529707543 32.74422516655252, -117.2033586523546 32.74418830519623)"
